"排序","一级分类","二级分类","评估项目","操作描述","所需材料","适用年龄","是否必答","评分_a_分值","评分_a_标签","评分_a_说明","评分_b_分值","评分_b_标签","评分_b_说明","评分_c_分值","评分_c_标签","评分_c_说明","评分_d_分值","评分_d_标签","评分_d_说明","评分_e_分值","评分_e_标签","评分_e_说明"
"1","里程碑评估-1（0-18个月）","提要求","提要求（1M）","发出 2 个话语，手语，或图片交换沟通系统，但可能需要仿说，模仿，或其他辅助，但不需要肢体辅助（如：饼干、书）","","0-18月","是","0","错误","","0.5","1个","","1","2个","","","","","","",""
"2","里程碑评估-1（0-18个月）","提要求","提要求（2M）","在无辅助下（除了“你想要什么？”）孩子能提出 4 个不同的要求，所要的物件可在眼前（如：音乐、彩虹弹簧、球）","","0-18月","是","0","错误","","0.5","2个","","1","4个","","","","","","",""
"3","里程碑评估-1（0-18个月）","提要求","提要求（3M）","能将一个强化物泛化于 2 个人，2 个环境，与 2 个不同的例子，从而成为 6 个要求。（如：向爸爸和妈妈在屋里和屋外，对红瓶子里的和蓝瓶子里的泡泡分别提出要求）","","0-18月","是","0","错误","","0.5","4个","","1","6个","","","","","","",""
"4","里程碑评估-1（0-18个月）","提要求","提要求（4M）","自发性地提出（没有语言辅助）5 项要求，所要的物品可在眼前（TO:60 分钟）","","0-18月","是","0","错误","","0.5","3个","","1","5个","","","","","","",""
"5","里程碑评估-1（0-18个月）","提要求","提要求（5M）","在无辅助下（除了“你想要什么？”）提出 10 种不同的要求，所要的物件可在眼前（如：苹果、秋千、车、果汁）","","0-18月","是","0","错误","","0.5","8个","","1","10个","","","","","","",""
"6","里程碑评估-2（18-30个月）","提要求","提要求（6M）","在无辅助下（除了“你想要什么？”）能够要求 20 种不同的缺少东西（如：给予蜡笔时，要求纸张）","","18-30月","是","0","错误","","0.5","10个","","1","20个","","","","","","",""
"7","里程碑评估-2（18-30个月）","提要求","提要求（7M）","要求他人发出 5 种不同的行动或自己喜欢的活动所需但又缺少的行动（如：要求开门可以到外面去，在秋千上时要求推）","","18-30月","是","0","错误","","0.5","3个","","1","5个","","","","","","",""
"8","里程碑评估-2（18-30个月）","提要求","提要求（8M）","提 5 个不同的其中包含两个或两个以上的单词（不包括我要）的要求（如：快跑，该我了，倒果汁）（TO：60 分钟）","","18-30月","是","0","错误","","0.5","3个","","1","5个","","","","","","",""
"9","里程碑评估-2（18-30个月）","提要求","提要求（9M）","自发地提出 15 个不同的要求（如：我们来玩吧、打开、我要书）（TO：30 分钟）","","18-30月","是","0","错误","","0.5","7个","","1","15个","","","","","","",""
"10","里程碑评估-2（18-30个月）","提要求","提要求（10M）","没有经过特别训练就能提出 10 个要求（如：没有经过正式的提要求训练就能自发说出小猫到哪里去了？）","","18-30月","是","0","错误","","0.5","8个","","1","10个","","","","","","",""
"11","里程碑评估-3（30-48个月）","提要求","提要求（11M）","能够用特殊疑问句或用一个问题字自发地提出 5 个不同的关于信息的要求（如：你叫什么名字？我到哪里去？）（TO：60 分钟）","","30-48月","是","0","错误","","0.5","3个","","1","5个","","","","","","",""
"12","里程碑评估-3（30-48个月）","提要求","提要求（12M）","能够在 5 个不同环境中有礼貌地要求停止不喜欢的活动或者除去任何引起反感动机的条件（如：“请别再推我”“不啦，谢谢”“对不起，你能让一下吗？”）","","30-48月","是","0","错误","","0.5","3个","","1","5个","","","","","","",""
"13","里程碑评估-3（30-48个月）","提要求","提要求（13M）","能用 10  个不同的形容词、介词或副词提要求（如：“我的蜡笔断了”“别把它拿出去”“快走”）（TO：60分钟）","","30-48月","是","0","错误","","0.5","8个","","1","10个","","","","","","",""
"14","里程碑评估-3（30-48个月）","提要求","提要求（14M）","能够指出、说明或解释如何做某件事或如何参与一个活动？（如：“你先涂胶水，然后再把它粘起来”，“我去拿一本书，你在这里坐好”）达 5 次","","30-48月","是","0","错误","","0.5","3个","","1","5个","","","","","","",""
"15","里程碑评估-3（30-48个月）","提要求","提要求（15M）","要求他人注意自己的对话行为（如：“听我说…”，“让我来告诉你…”，“当时发生的是…”，“我来说个故事…”）达 5 次","","30-48月","是","0","错误","","0.5","3个","","1","5个","","","","","","",""
"16","里程碑评估-1（0-18个月）","命名","命名（1M）","能对两个物品进行命名（如：人物，偏好物，角色，或喜爱的物件）","","0-18月","是","0","错误","","0.5","部分达标","","1","达标","","","","","","",""
"17","里程碑评估-1（0-18个月）","命名","命名（2M）","对任何 4 个物件进行命名（如：人物，偏好物，角色，或喜爱的物件）","","0-18月","是","0","错误","","0.5","2个","","1","4个","","","","","","",""
"18","里程碑评估-1（0-18个月）","命名","命名（3M）","命名 6 种非强化物（例如，鞋子帽子，勺子，汽车，杯子，床等），","","0-18月","是","0","错误","","0.5","4个","","1","6个","","","","","","",""
"19","里程碑评估-1（0-18个月）","命名","命名（4M）","自发地（无口语辅助）命名 2 样不同的物件（TO：60 分钟）","","0-18月","是","0","错误","","0.5","部分达标","","1","达标","","","","","","",""
"20","里程碑评估-1（0-18个月）","命名","命名（5M）","能命名 10 个物件（如：常见的物体，人物，身体部位或者图片）","","0-18月","是","0","错误","","0.5","8个","","1","10个","","","","","","",""
"21","里程碑评估-2（18-30个月）","命名","命名（6M）","当被问到“这是什么？”（如：书、鞋子、汽车、狗、帽子）时，能够命名 25 个物品","","18-30月","是","0","错误","","0.5","12个","","1","25个","","","","","","",""
"22","里程碑评估-2（18-30个月）","命名","命名（7M）","在测试时或从已知的泛化清单中（例如命名3 种不同的汽车），能够泛化命名50 种物品的3 个不同例子（如：命名 3 种不同的汽车）","","18-30月","是","0","错误","","0.5","1个","","1","3个","","","","","","",""
"23","里程碑评估-2（18-30个月）","命名","命名（8M）","当面临“我在干什么？”（如：跳、睡、吃）的问题时，能命名 10 个动作","","18-30月","是","0","错误","","0.5","8个","","1","10个","","","","","","",""
"24","里程碑评估-2（18-30个月）","命名","命名（9M）","在测试时或从已知命名双词清单中（如：洗脸，舅舅游泳，宝宝睡觉），能够命名 50 组如动词加名词或名词加动词的两种成分组合","","18-30月","是","0","错误","","0.5","部分达标","","1","达标","","","","","","",""
"25","里程碑评估-2（18-30个月）","命名","命名（10M）","在测试时或从已知命名的积累清单中，能够命名总数为 200 的名词和/或动词，或其他语言成分","","18-30月","是","0","错误","","0.5","部分达标","","1","达标","","","","","","",""
"26","里程碑评估-3（30-48个月）","命名","命名（11M）","面对用混乱秩序提出的 5 个物件，孩子能够命名它们的颜色形状和功能（15 个回合）（）如：“冰箱是什么颜色？”“情人节的形状是什么？”“你用球来做什么？”）（这里部分是命名部分是对话）","","30-48月","是","0","错误","","0.5","7个","","1","15个","","","","","","",""
"27","里程碑评估-3（30-48个月）","命名","命名（12M）","能够命名 4 个不同的介词（如，“在……中”，“在……外”，“在……上”，“在……下”），和 4 个代词（如：我、你、他、我的）","","30-48月","是","0","错误","","0.5","2个","","1","4个","","","","","","",""
"28","里程碑评估-3（30-48个月）","命名","命名（13M）","能够命名 4 个不同的形容词，但不包括颜色和形状（如：快的、慢的、近的、轻的）","","30-48月","是","0","错误","","0.5","2个","","1","4个","","","","","","",""
"29","里程碑评估-3（30-48个月）","命名","命名（14M）","能够命名含有 4 个以上字的完整句子，共达 20 次","","30-48月","是","0","错误","","0.5","10个","","1","20个","","","","","","",""
"30","里程碑评估-3（30-48个月）","命名","命名（15M）","通过测试或从以前积累的已知词汇表说明孩子能够命名 1000 个字（名词、动词和形容词等）","","30-48月","是","0","错误","","0.5","500个","","1","1000个","","","","","","",""
"31","里程碑评估-1（0-18个月）","听者反应","听者反应（1M）","能有 5 次注意讲者的声音，并将目光转向讲者","","0-18月","是","0","错误","","0.5","3个","","1","5个","","","","","","",""
"32","里程碑评估-1（0-18个月）","听者反应","听者反应（2M）","在听到自己的名字后，能作出反应并达 5 次，（如：看着讲者）","","0-18月","是","0","错误","","0.5","3个","","1","5个","","","","","","",""
