"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分说明_1_达标","评分说明_0.5_部分达标","评分说明_0_未达标"
"1","Level 1 (0-18月)","Mand(提要求)","Mand 1","发出 2 个话语，手语，或图片交换沟通系统，但可能需要仿说，模仿，或其他辅助，但不需要肢体辅助（如：饼干、书）","","0-18月","是","发出 2 个话语，手语，或图片交换沟通系统，但可能需要仿说，模仿，或其他辅助，但不需要肢体辅助（如：饼干、书）","(1-a) 发起眼神交流（注视转移）要求关注或其他的强化物 2 次; (1-b) 移动接近一个强化物来表示一个动机的存在 2 次; (1-c) 通过拉一个大人以获得一个强化物 2 次; (1-d) 手指或手势朝向强化物以得到它 2 次","以上行为均未观察到"
"2","Level 1 (0-18月)","Mand(提要求)","Mand 2","在无辅助下（除了“你想要什么？”）孩子能提出 4 个不同的要求，所要的物件可在眼前（如：音乐、彩虹弹簧、球）","","0-18月","是","在无辅助下（除了“你想要什么？”）孩子能提出 4 个不同的要求，所要的物件可在眼前（如：音乐、彩虹弹簧、球）","(2-a) 指向 2 个不同的强化物以获得它们 2 次; (2-b) 在提供一个强化物时点头说是或不是 2 次; (2-c) 没有仿说辅助提出 2 个不同要求——可能有语言或目标物的辅助; (2-d) 没有仿说或模仿辅助自发提出 1 个要求——可能有语言或目标物的辅助; (2-e) 通过 2 个不同的人和 2 个环境泛化 2 个已知的要求","以上行为均未观察到"
"3","Level 1 (0-18月)","Mand(提要求)","Mand 3","能将一个强化物泛化于 2 个人，2 个环境，与 2 个不同的例子，从而成为 6 个要求。（如：向爸爸和妈妈在屋里和屋外，对红瓶子里的和蓝瓶子里的泡泡分别提出要求）","","0-18月","是","能将一个强化物泛化于 2 个人，2 个环境，与 2 个不同的例子，从而成为 6 个要求。（如：向爸爸和妈妈在屋里和屋外，对红瓶子里的和蓝瓶子里的泡泡分别提出要求）","(3-a) 能自发地提出 2 个要求（无语言辅助）；——物品可在眼前; (3-b) 没有仿说或模仿的辅助提出 5 个要求——可能有语言和目标物的辅助; (3-c) 通过 2 个想要的物品的 2 个例子泛化 3 个要求（如：对 2 种不同的滑梯要求滑滑梯）; (3-d) 没有仿说或模仿的辅助提出 6 个不同的要求——可能有语言和目标物的辅助","以上行为均未观察到"
"4","Level 1 (0-18月)","Mand(提要求)","Mand 4","自发性地提出（没有语言辅助）5 项要求，所要的物品可在眼前（TO:60 分钟）","","0-18月","是","自发性地提出（没有语言辅助）5 项要求，所要的物品可在眼前（TO:60 分钟）","(4-a) 用一些可辨识的行为方式要求关注 2 次（如：在手臂上轻敲一下）; (4-b) 没有一个目标物在眼前提出 2 个要求——可能伴有你想要什么？; (4-c) 没有语言辅助提出 2 个要求——可能有目标物辅助; (4-d) 要求他人关注他正在关注的同一刺激物，每天 5 次; (4-e) 提出 1 个去除不喜欢的物品或活动（如：不）","以上行为均未观察到"
"5","Level 1 (0-18月)","Mand(提要求)","Mand 5","在无辅助下（除了“你想要什么？”）提出 10 种不同的要求，所要的物件可在眼前（如：苹果、秋千、车、果汁）","","0-18月","是","在无辅助下（除了“你想要什么？”）提出 10 种不同的要求，所要的物件可在眼前（如：苹果、秋千、车、果汁）","(5-a) 没有一个目标物在眼前而能够提出 3 个不同的要求——可能有一个语言辅助（如：妈妈）; (5-b) 没有语言辅助而能够提出 3 个不同的要求——可能有一个目标物的辅助; (5-c) 所提的要求包含音调的变化和当下的动机相符合，2 次; (5-d) 不超过 20 个回合训练即获得一个新要求; (5-e) 即使没有强化物，也能连续提出 2 次要求（坚持）","以上行为均未观察到"
"6","Level 2 (18-30月)","Mand(提要求)","Mand 6","在无辅助下（除了“你想要什么？”）能够要求 20 种不同的缺少东西（如：给予蜡笔时，要求纸张）","","18-30月","是","在无辅助下（除了“你想要什么？”）能够要求 20 种不同的缺少东西（如：给予蜡笔时，要求纸张）","(6-a) 在没有物品呈现和没有语言辅助情况下，自发提出 5 个要求; (6-b) 在没有仿说或模仿的辅助下提出 10 个不同的要求——物品可在眼前; (6-c) 没有辅助（除一个语言辅助）就能要求 5 个缺少的物品; (6-d) 对 4 个不同的人泛化 4 个要求; (6-e) 在没有接触物品 24 小时后仍然能维持一个最近获得的关于缺少物品的要求","以上行为均未观察到"
"7","Level 2 (18-30月)","Mand(提要求)","Mand 7","要求他人发出 5 种不同的行动或自己喜欢的活动所需但又缺少的行动（如：要求开门可以到外面去，在秋千上时要求推）","","18-30月","是","要求他人发出 5 种不同的行动或自己喜欢的活动所需但又缺少的行动（如：要求开门可以到外面去，在秋千上时要求推）","(7-a) 能用 2 个词语的短语或句子提出 2 次要求（如：喝果汁）（TO：60 分钟）; (7-b) 在语言辅助下要求他人做 2 个不同的动作（如：走、转）; (7-c) 能提出 2 个要求以去除不喜欢的物品或活动; (7-d) 能通过 2 个不同的提要求方法表现出反应泛化（如：将装有饮料的杯子称为杯子和饮料、将小狗称为狗狗和麦琪）; (7-e) 提要求时包含不同的与正面和反面动机相吻合的语调 5 次; (7-f) 能要求帮助或援助 2 次; (7-g) 表现出高频率的要求（5 分钟时间段内有 15 次要求）","以上行为均未观察到"
"8","Level 2 (18-30月)","Mand(提要求)","Mand 8","提 5 个不同的其中包含两个或两个以上的单词（不包括我要）的要求（如：快跑，该我了，倒果汁）（TO：60 分钟）","","18-30月","是","提 5 个不同的其中包含两个或两个以上的单词（不包括我要）的要求（如：快跑，该我了，倒果汁）（TO：60 分钟）","(8-a) 能用 2 个词语的短语或句子提出 5 次要求（TO:120 分钟）; (8-b) 用什么的疑问句要求信息 2 次（如：那是什么？）; (8-c) 用代词提要求 2 次（如：我的火车、那是你的）; (8-d) 用 3 种不同的连接性短语提要求（如：我想要…，这是我的…，我能…吗？那是我的…）; (8-e) 用是和不提要求 4 次（如：你想坐车吗？是的）; (8-f) 用哪里的疑问句要求信息 2 次（如：艾莫在哪里？）","以上行为均未观察到"
"9","Level 2 (18-30月)","Mand(提要求)","Mand 9","自发地提出 15 个不同的要求（如：我们来玩吧、打开、我要书）（TO：30 分钟）","","18-30月","是","自发地提出 15 个不同的要求（如：我们来玩吧、打开、我要书）（TO：30 分钟）","(9-a) 每天能自发地提出 50 个要求（可以有物品呈现，但没有语言辅助）; (9-b) 仅训练命名或仿说就能学会提 2 个要求（如：看到并命名一只活的长颈鹿、后来又要求回去看长颈鹿）; (9-c) 用任何类型的疑问词要求信息 25 次; (9-d) 用形容词要求 5 次（如：大薯片、红色的车）; (9-e) 能在 30 秒内提出 5 次要求（如：在一个像玩水之类的游戏或有趣的活动中）（TO:30 秒）; (9-f) 用包含 3 个词语的短语提要求 10 次（如：我的马）","以上行为均未观察到"
"10","Level 2 (18-30月)","Mand(提要求)","Mand 10","没有经过特别训练就能提出 10 个要求（如：没有经过正式的提要求训练就能自发说出小猫到哪里去了？）","","18-30月","是","没有经过特别训练就能提出 10 个要求（如：没有经过正式的提要求训练就能自发说出小猫到哪里去了？）","(10-a) 没有训练就能提出 2 个新的要求（如：没有训练就能说我想要热的可可）; (10-b) 通过 2 个不同的提要求方法表现出反应的泛化（如：抓住我、追我、跑）; (10-c) 用一个形容词提要求 5 次——可用语言和非语言辅助; (10-d) 使用谁的问题句要求信息 3 次; (10-e) 自发地要求他人做出 20 个不同的动作（如：跑、走、推我）; (10-f) 自发地对新的和陌生人提要求 2 次","以上行为均未观察到"
