排序,分组,领域,评估项目,操作描述,所需材料,适用年龄,是否必答,评分说明_2_通过,评分说明_1_萌芽,评分说明_0_不通过
1,功能发展,精细动作,拧开泡泡瓶盖,把泡泡瓶放在桌上说，“这是泡泡瓶”。把瓶子递给孩子，向他简要说明去拧开盖子。如果他不能打开，就做一下示范，然后再次让孩子拧开盖子。,一瓶肥皂泡液，吹泡泡的杆,,是,孩子自己能拧开盖子,孩子未能设法拿掉盖子，但似乎知道必要的一些动作,孩子未能设法拿掉盖子，而且似乎也不知道必要的一些动作，或者即使在给做示范之后也不试着去做
2,功能发展,精细动作,吹泡泡,给孩子示范如何吹泡泡，向他说明要照着去做，然后把吹杆递给孩子。,同1A,,是,孩子吹出了一些泡泡,孩子虽未能设法吹出一些泡泡，但似乎知道必要的一些动作(如把吹杆靠近嘴边、收拢嘴唇、吹等),孩子未能设法吹出，而且似乎也不知道必要的一些动作，或者即使在示范之后也不试着去做
3,功能发展,知觉(视觉),目光追随泡泡的移动,在实施项目1 B(吹泡泡)的过程中观察孩子。在示范过程及孩子试图完成任务的时候，  注意他是否用目光追随泡泡的移动。,同1A,,是,孩子目光明显追随泡泡移动,孩子对泡泡有短暂的注意,孩子不能或者不设法用目光追随泡泡的移动
4,行为表现,感觉,不适当地察看三个触摸块,把三个木块放在孩子面前，向孩子说明去察看这些木块，然后注意孩子对木块的反应。材料：三个触摸块(毛的、糙面的、刻有凹槽的),三个触摸块(毛的、糙面的、刻有凹槽的),,是,孩子能对这些木块作出适当的反应(如问这是什么，或看、摸，或拿来堆积木),对木块表现出某种过分的兴趣,对木块作出不适当的反应，表现出一些古怪的或过分的感觉兴趣(如尝一尝、闻一闻、困惑地触摸等)
5,功能发展,模仿(动作),操作万花筒,给孩子做示范如何看万花筒以及怎样转动底部。向孩子说明照样去做，然后将万花筒给他。,—只万花筒,,是,孩子能模仿这一动作去看万花筒并转动底部,孩子设法去看，但不会看万花筒，或者不会转动底部,孩子不能或者也不试着去看万花筒或转动底部
6,行为表现,感觉,无利眼,在进行项目3 A(操作万花筒)时，注意孩子是否明显地展示出利眼。如果孩了用一只眼睛靠近万花筒，然后换另一只眼睛，就重复这项任务。即递给他万花筒，再次向孩子说明往里面看。接着注意孩子偏于用哪只眼睛或者不用哪只眼睛，并将结果记录在表一表头部分。,同3A,,是,孩子如果己超过5岁，应能明显地展示利眼,孩子开始显示出有利眼的倾向,孩子没有显示利眼
7,功能发展,模仿(动作),按手铃两次,把铃放在孩子面前的桌子上，引起他的注意(“注意我做了什么”)。快速连续按铃两次，向孩子说明照样去做(“你来做”或“照我刚才那样做”)。如果孩子按铃一次或数次，就再次做示范，然后向他说明照样按两次．,一只手铃,,是,孩子能模仿按铃两次,孩子能设法模仿但不正确(如按一次或数次)。如果需再次示范才能模仿正确，亦可评为中间反应,即使再次示范之后，孩子也不能或者也不试着去按铃
8,功能发展,模仿(动作),把胶泥搓成长条,把一块胶泥分成两块，给孩子一块．示范如何把胶泥在桌子上搓成长条，向孩子说明照样去做．,胶泥,,是,孩子能模仿测试者，在桌子上把胶泥搓成长条,孩子试着用类似的某种方法去搓胶泥，但未能搓成形,孩子甚至不设法去模仿或不能用所描述的方法去搓胶泥
9,功能发展,精细动作,用胶泥捏成碗状,示范给孩子看如何把胶泥捏成碗状，然后向孩子说明照着去做．,同5A,,是,孩子显然能用胶泥捏成碗状,孩子未能设法捏成碗状，但似乎知道必要的动作(如捏、做成形状等),孩子未能设法捏成，并且似乎也不知道必要的动作，或者不试着去做
10,功能发展,模仿(动作),将手偶猫套在孩子的手上，要他用手指去操纵它,拿手偶猫给孩子看，告诉他“这是猫”。把手偶猫套在你的手上说；“我是猫咪。喵，我要亲亲你”，然后用手偶象征性地亲一亲孩子，但并不真的去亲他．如果孩子没有任何反应，那么就用手偶做出叫、笑、咬、碰等声音或动作，让孩子来参与游戏．接下来，把手偶猫递给他说：“你来当猫咪．”向他说明把手偶套在手上，并鼓励他用手指操作手偶的头部及上肢．,一只手偶猫,,是,孩子把手偶猫套在手上并模仿去操作它的头部和上肢,孩子未能试着去模仿(例如能把手偶套在手上，但不用手指去操作它，或者并不能完全把手偶套在手上),孩子不能或也不试着去把手偶套在手上或者用手指去操作它
