排序,一级分类,二级分类,评估项目,操作描述,所需材料,适用年龄,是否必答,评分_a_分值,评分_a_标签,评分_a_说明,评分_b_分值,评分_b_标签,评分_b_说明,评分_c_分值,评分_c_标签,评分_c_说明,评分_d_分值,评分_d_标签,评分_d_说明,评分_e_分值,评分_e_标签,评分_e_说明
1,里程碑评估-1（0-18个月）,提要求,提要求（1M）,发出 2 个话语，手语，或图片，但可能需要仿说，模仿，或其他辅助，但不需要肢体辅助（如：饼干、书）,,0-18月,是,0,错误,,0.5,1个,,1,2个,,,,,,,
2,里程碑评估-1（0-18个月）,提要求,提要求（2M）,在无辅助下孩子能提出 4 个不同的要求，所要的物件可在眼前,,0-18月,是,0,错误,,0.5,3个,,1,4个,,,,,,,
3,里程碑评估-1（0-18个月）,提要求,提要求（3M）,能将一个强化物泛化于 2 个人，2 个环境，与 2 个不同的例子，从而成为 6 个要求。,,0-18月,是,0,错误,,0.5,3个,,1,6个,,,,,,,
4,里程碑评估-1（0-18个月）,提要求,提要求（4M）,自发性地（没有口头辅助）提出5 项要求，所要的物品可在眼前,,0-18月,是,0,错误,,0.5,2个,,1,5个,,,,,,,
5,里程碑评估-1（0-18个月）,提要求,提要求（5M）,在无辅助下提出 10 种不同的要求，所要的物件可在眼前,,0-18月,是,0,错误,,0.5,8个,,1,10个,,,,,,,
6,里程碑评估-2（18-30个月）,提要求,提要求（6M）,在无辅助下能够要求 20 种不同的缺少东西,,18-30月,是,0,错误,,0.5,10个,,1,20个,,,,,,,
7,里程碑评估-2（18-30个月）,提要求,提要求（7M）,要求他人发出 5 种不同的行动以享受渴望的活动,,18-30月,是,0,错误,,0.5,2个,,1,5个,,,,,,,
8,里程碑评估-2（18-30个月）,提要求,提要求（8M）,提 5 个不同的其中包含两个或两个以上的单词（TO：60 分钟）,,18-30月,是,0,错误,,0.5,2个,,1,5个,,,,,,,
9,里程碑评估-2（18-30个月）,提要求,提要求（9M）,自发地提出 15 个不同的要求（TO：30 分钟）,,18-30月,是,0,错误,,0.5,8个,,1,15个,,,,,,,
10,里程碑评估-2（18-30个月）,提要求,提要求（10M）,没有经过特别训练就能提出 10 个要求,,18-30月,是,0,错误,,0.5,5个,,1,10个,,,,,,,
11,里程碑评估-3（30-48个月）,提要求,提要求（11M）,能够用特殊疑问句自发地提出 5 个不同的关于信息的要求（TO：60 分钟）,,30-48月,是,0,错误,,0.5,2个,,1,5个,,,,,,,
12,里程碑评估-3（30-48个月）,提要求,提要求（12M）,能够在 5 个不同环境中有礼貌地要求停止不喜欢的活动或者除去任何引起反感动机的条件,,30-48月,是,0,错误,,0.5,2个,,1,5个,,,,,,,
13,里程碑评估-3（30-48个月）,提要求,提要求（13M）,能用 10  个不同的形容词、介词或副词提要求（TO：60分钟）,,30-48月,是,0,错误,,0.5,5个,,1,10个,,,,,,,
14,里程碑评估-3（30-48个月）,提要求,提要求（14M）,能够指出、说明或解释如何做某件事或如何参与一个活动达五次,,30-48月,是,0,错误,,0.5,2个,,1,5个,,,,,,,
15,里程碑评估-3（30-48个月）,提要求,提要求（15M）,要求他人注意自己的对话行为达 5 次,,30-48月,是,0,错误,,0.5,2个,,1,5个,,,,,,,
16,里程碑评估-1（0-18个月）,命名,命名（1M）,在仿说或示范辅助下能对2个强化物进行命名,,0-18月,是,0,错误,,0.5,1个,,1,2个,,,,,,,
