"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分分值_高_标签","评分分值_高_说明","评分分值_中_标签","评分分值_中_说明","评分分值_低_标签","评分分值_低_说明"
"1","感知觉","视觉 视觉 注视","注视光线刺激","在距离儿童眼睛约25厘米处出示光亮以吸引儿童注意，观察其反应。","光线可调节的小手电筒1支","0-6月","是","通过","注视球3秒或以上","中间反应","注视3秒以下","不通过","目光不能或没有注视"
"2","感知觉","视觉 视觉 注视","注视颜色刺激","在距离儿童眼睛约25厘米处摇晃气球以吸引儿童注意，观察其反应。","红色气球1只","0-6月","是","通过","注视球3秒或以上","中间反应","注视3秒以下","不通过","目光不能或没有注视"
"3","感知觉","视觉追视","灵活追视","在儿童面前出示气球等，摇晃气球或其他物品以吸引儿童注意，左右上下慢慢移动。","红色气球1只或儿童感兴趣的物品","4-6月","是","通过","目光追随气球，上下左右移动，均可追视","中间反应","目光偶有追随气球移动但不连续","不通过","不能或没有任何追视"
"4","感知觉","追视飘动物体","肥皂泡液","在儿童面前吹肥皂泡，观察儿童有没有追视肥皂泡飘动。","","6-12月","是","通过","明显可见儿童追视肥皂泡移动","中间反应","偶尔追视，时间很短","不通过","没有追视肥皂泡"
"5","感知觉","追视飘动物体","追视快速运动物体","测试员先在儿童面前3米远处由慢而快地来回移动气球；然后再将手电的光点在房间的墙上来回移动，引起儿童追视。","红外线小手电筒1支及红色气球1只","12-18月","是","通过","对移动的气球和光点，儿童能明确作出反应","中间反应","目光追视间断、不连续","不通过","没有任何追视反应"
"6","感知觉","视觉辨认","辨认熟悉人物的面孔（如：爸爸、妈妈）","在日常或评估期间观察；或向家长询问：孩子能辨认熟悉的人物吗？","观察项目","5-6月","是","通过","见到熟悉人物面孔时有2次或以上的反应或笑；对陌生人则不会","中间反应","有1次反应","不通过","见到熟悉人物面孔时没有任何反应"
"7","感知觉","视觉辨认","辨认自己的影像","测试员在儿童面前出示小镜子，让儿童照着镜子，问他：“这是谁呀？”","小镜子1只","12-15月","是","通过","开心地笑、拍手，或用手触摸镜子，或说自己的名字等","中间反应","目光反应迟钝，或盯着看","不通过","没有任何反应"
"8","感知觉","视觉辨认","辨认常见物品","在日常生活或评估期间观察；或询问家长：儿童能够辨认一些常见物品吗？","观察项目","12-24月","是","通过","能按指示/需要去挑选2种或以上的常见物品（如：汤匙、杯子、奶瓶、鞋、玩具等）","中间反应","偶尔或提示下能按指示/需要去挑选一种常见的物品","不通过","不能作出正确反应"
"9","感知觉","视觉辨认","辨认1种颜色","测试员在儿童面前逐一出示4种颜色，并问是什么颜色。","红、黄、蓝、绿积木各1块","16-20月","是","通过","能正确说出其中1种颜色","中间反应","提示下说出其中1种颜色","不通过","不能或没有说出其中任何1种颜色"
"10","感知觉","视觉辨认","辨认2种颜色","测试员在儿童面前逐一出示4种颜色，并问是什么颜色。","红、黄、蓝、绿积木各1块","22-26月","是","通过","能正确说出其中2种颜色","中间反应","能说出其中1种或提示下能说出其中2种颜色","不通过","不能或没有说出其中任何1种颜色"
"11","感知觉","视觉辨认","找出两种不同的颜色","测试员在儿童面前出示4种颜色的积木块，要求儿童找出红色和蓝色的积木块。","红、黄、蓝、绿积木各1块","35-38月","是","通过","能正确找出2种颜色积木块","中间反应","能找出其中1种或提示下能找出2种颜色积木块","不通过","不能找出其中任何1种颜色积木块"
"12","感知觉","视觉记忆及重整","指出图形拼块的正确位置","测试人员将模板放在儿童面前（三角形的底边靠近儿童），将各种形状的拼块正面向上放在模板与儿童之间，避免将各拼块放在与其形状相同的洞下面。 指向拼板并示意儿童将各拼块放进模板。 一段时间后，若儿童表现出不明白或有困难，测试员可用圆形拼块示范，然后将该拼块放回桌子上，并指示儿童将所有形状的拼块放进模板。 指示步骤： 1、用圆形拼块示范 2、用全部拼块示范 3、用动作协助儿童尝试拼放全部拼块","形状拼板（圆形、正方形、三角形和模板）","34-39月","是","通过","无需示范，能将3个形状拼块放在模板的正确位置或其附近","中间反应","最少将1个形状拼块准确放在正确位置或其附近；或需示范才尝试或完成此项目；或需将拼块逐块交给儿童才尝试或完成此项目","不通过","示范后仍不能、或没有尝试指示出不同形状拼块的正确位置"
"13","感知觉","视觉记忆及重整","指出动物拼块的正确位置","测试员将动物模板放在儿童面前，动物拼块则放在模板与儿童之间，避免将拼块放在拼块大小对应的位置下。指向模板并指示儿童将各拼块放进去，但不要直接指向任何一个模板洞。","动物拼块及模板","34-39月","是","通过","无需示范便能指出3块拼块的正确位置。即使未能准确放入，但能将拼块放在正确位置附近（上或下）","中间反应","虽未能完全准确放入，但能正确指示出最少1块拼块的正确位置","不通过","示范后仍未能或没有尝试将拼块放在模板上"
"14","感知觉","视觉记忆及重整","完成物品拼板","测试员将已完成的拼板放在儿童面前，取出所有拼块并将其中1块拼块交给儿童，指着模板指示儿童将拼块放进模板。完成后，再把另一块交给儿童，用同样的程序测试剩下的拼块。注意将各拼块以正面向上的方式交给儿童。","物品拼块和模板（雨伞、小鸡、蝴蝶、梨子及模板）","45-49月","是","通过","无需示范便能完成4块拼块的拼板","中间反应","最少能放入1块拼块，或需示范后才尝试或完成","不通过","示范后仍未能或没有放进任何拼块"
"15","感知觉","视觉记忆及重整","完成动物拼图","测试员将已完成的小狗拼图放在儿童面前，让儿童看3秒钟后拆开，要求儿童拼成小狗。","剪成三块的狗的拼图","45-49月","是","通过","无需示范便能完成3块的小狗拼图","中间反应","需示范后才尝试或完成","不通过","示范后仍未能完成"
"16","感知觉","颜色积木配对","颜色积木5块（黄、红、蓝、绿、白）","测试员随意选出3块积木以及颜色相配的纸板，将纸板放在儿童面前，给儿童任何1块积木，并指向各纸板，利用语言指令和手势示意儿童将积木放在颜色相同的纸板上。必须避免说出颜色名称。","颜色相同的纸板5个","45-49月","是","通过","无需示范，能把5种颜色正确配对","中间反应","至少完成1种颜色配对；或需示范才能去尝试或完成此项目","不通过","未能或没有配对任何颜色"
